timestamp;custom sunup;custom sundown;AD sunup;AD sundown;AD sunrise;AD sunset
14:4;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:5;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:6;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:7;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:8;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:9;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:10;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:11;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:12;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:13;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:14;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:15;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:16;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:17;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:18;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:19;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:20;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:21;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:22;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:23;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:24;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:25;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:26;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:27;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:28;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:29;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:30;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:31;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:32;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:33;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:34;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:35;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:36;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:37;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:38;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:39;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:40;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:41;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:42;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:43;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:44;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:45;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:46;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:47;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:48;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:49;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:50;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:51;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:52;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:53;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:54;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:55;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:56;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:57;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:58;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:59;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:0;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:1;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:2;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:3;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:4;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:5;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:6;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:7;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:8;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:9;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:10;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:11;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:12;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:13;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
15:14;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
