#Timestamp [s];#kWh stand;#staat
1586268607;0,027;washer on
1586276647;0,91;washer off
1586407864;0,042;washer on
1586416983;1,459;washer off
1586424363;1,472;washer on
1586430603;2,207;washer off
1586436423;2,208;washer on
1586437780;2,424;washer on
1586445602;2,65;washer off
1586615818;0,001;washer on
1586624577;1,555;washer off
1586929668;0,036;washer on
1586936568;0,693;washer off
1586950128;0,695;washer on
1586959248;2,06;washer off
1587200441;0,001;washer on
1587209980;1,529;washer off
1587210760;1,53;washer on
1587219880;1,912;washer off
1587223420;1,939;washer on
1587229062;2,668;washer off
1587288158;0,026;washer on
1587294098;0,303;washer off
1587294938;0,305;washer on
1587304238;1,805;washer off
1587359676;0,045;washer on
1587368256;1,436;washer off
1587371136;1,437;washer on
1587379535;1,868;washer off
1587812963;0,029;washer on
1587821843;0,916;washer off
1587888861;0,002;washer on
1587896421;1,28;washer off
1587912080;1,306;washer on
1587921080;2,119;washer off
1588156213;0,001;washer on
1588159573;0,298;washer off
1588241771;0,002;washer on
1588249390;1,174;washer off
1588315531;0,001;washer on
1588323271;0,436;washer off
1588666359;0,002;washer on
1588674999;1,291;washer off
1588675959;1,292;washer on
1588683399;2,476;washer off
1588917752;0,002;washer on
1588923932;0,844;washer off
1588925012;0,845;washer on
1588934552;2,219;washer off
1589098947;0,001;washer on
1589281222;0,001;washer on
1589301141;0,414;washer on
1589304561;0,695;washer off
1589360899;0,002;washer on
1589377399;1,01;washer off
1589705290;0,002;washer on
1589713749;1,373;washer off
1589721789;1,374;washer on
1589730849;1,688;washer off
1590061140;0,001;washer on
1590308955;0,032;washer on
1590317955;0,762;washer off
1590320835;0,763;washer on
1590330015;2,196;washer off
1590408672;0,001;washer on
1590411672;0,165;washer off
1590420312;0,167;washer on
1590427272;1,107;washer off
1590561608;0,025;washer on
1590567008;0,614;washer off
1590577448;0,637;washer on
1590586327;1,55;washer off
1590648126;0,002;washer on
1590655445;1,076;washer off
1591017235;0,002;washer on
1591023535;0,238;washer off
1591195430;0,002;washer on
1591204670;1,398;washer off
1591532141;0,001;washer on
1591541380;0,418;washer off
1591597779;0,002;washer on
1591606899;1,324;washer off
1591611218;1,354;washer on
1591616138;1,898;washer off
1591941929;0,001;washer on
1591951469;1,426;washer off
1592290280;0,002;washer on
1592297120;0,944;washer off
1592305459;0,974;washer on
1592310259;1,501;washer off
1592385317;0,001;washer on
1592400197;2,122;washer off
1592461335;0,032;washer on
1592465655;0,424;washer off
1592558352;0,023;washer on
1592567592;0,723;washer off
1592991960;0,002;washer on
1592999100;0,908;washer off
1593246174;0,001;washer on
1593254333;1,017;washer off
1593671142;0,001;washer on
1593680262;1,238;washer off
1593754180;0,001;washer on
1593762999;0,296;washer off
1593777219;0,298;washer on
1593786339;0,702;washer off
1593789219;0,703;washer on
1593795818;1,514;washer off
1593849217;0,001;washer on
1593855877;0,828;washer off
1593857077;0,83;washer on
1593863736;1,104;washer off
1594361482;0,001;washer on
1594370722;1,371;washer off
1594382722;1,372;washer on
1594392142;2,552;washer off
1594541717;0,028;washer on
1594550657;0,758;washer off
1594967825;0,001;washer on
1594976405;0,318;washer off
1594977785;0,32;washer on
1594986185;1,791;washer off
1594987445;1,792;washer on
1594996865;2,233;washer off
1594999384;2,257;washer on
1595005324;2,43;washer off
1595065383;0,001;washer on
1595074202;0,318;washer off
1595148660;0,001;washer on
1595156940;1,311;washer off
1595243938;0,001;washer on
1595247178;0,164;washer off
1595251257;0,188;washer on
1595257797;0,605;washer off
1595258517;0,606;washer on
1595261877;0,784;washer off
1595319056;0,033;washer on
1595321696;0,191;washer off
1595322356;0,192;washer on
1595329435;1,136;washer off
1595333335;1,142;washer on
1595336335;1,265;washer off
1595575308;0,001;washer on
1595582448;0,311;washer off
1595584548;0,314;washer on
1595592948;1,646;washer off
1596957310;0,01;washer on
1596962950;0,515;washer off
1596964630;0,52;washer on
1596967990;0,598;washer off
1596970209;0,599;washer on
1596973209;0,681;washer off
1596973449;0,682;washer on
1596977229;0,799;washer off
1596985689;0,801;washer on
1596994989;1,165;washer off
1597043887;0,002;washer on
1597053127;1,324;washer off
1597057087;1,326;washer on
1597060447;1,44;washer off
1597128245;0,001;washer on
1597131785;0,111;washer off
1597133825;0,112;washer on
1597143005;1,226;washer off
1597477796;0,001;washer on
1597486976;0,311;washer off
1597495735;0,313;washer on
1597499215;0,436;washer off
1597565693;0,001;washer on
1597573853;1,179;washer off
1597592393;1,181;washer on
1597601632;1,483;washer off
1597646571;0,002;washer on
1597655931;1,185;washer off
1597736809;0,001;washer on
1597740049;0,118;washer off
1597742209;0,12;washer on
1597749108;0,914;washer off
1597824286;0,002;washer on
1597831246;0,856;washer off
1597834666;0,857;washer on
1597838026;0,965;washer off
1598103939;0,001;washer on
1598112279;1,104;washer off
1598248295;0,001;washer on
1598256875;1,326;washer off
1598367091;0,029;washer on
1598371351;0,237;washer off
1598429370;0,032;washer on
1598434170;0,526;washer off
1598597245;0,001;washer on
1598606665;1,371;washer off
1598613145;1,374;washer on
1598620164;1,634;washer off
1598688322;0,032;washer on
1598692582;0,239;washer off
1598781560;0,001;washer on
1598784560;0,167;washer off
1598787560;0,196;washer on
1598795539;0,968;washer off
1598886737;0,001;washer on
1598895197;1,379;washer off
1599137650;0,001;washer on
1599140830;0,185;washer off
1599142870;0,187;washer on
1599145929;0,372;washer off
1599293825;0,002;washer on
1599302105;1,307;washer off
1599378303;0,026;washer on
1599384063;0,321;washer off
1599635816;0,002;washer on
1599643075;0,967;washer off
1599644515;0,998;washer on
1599652555;1,735;washer off
1599656455;1,752;washer on
1599662275;2,425;washer off
1599806571;0,001;washer on
1599815391;1,381;washer off
1599898068;0,001;washer on
1599905928;1,169;washer off
1599991726;0,015;washer on
1599997425;0,664;washer off
1600001205;0,666;washer on
1600008165;1,563;washer off
1600409285;0,001;washer on
1600504215;0,001;washer on
1600507275;0,189;washer off
1600518255;0,191;washer on
1600527375;0,536;washer off
1600617432;0,002;washer on
1600626492;1,376;washer off
1600671071;0,035;washer on
1600675630;0,538;washer off
1601121238;0,001;washer on
1601130298;1,442;washer off
1601131557;1,444;washer on
1601134797;1,634;washer off
1601275673;0,002;washer on
1601282333;0,991;washer off
1601448588;0,033;washer on
1601454228;0,585;washer off
1601468688;0,586;washer on
1601475888;1,618;washer off
